"","DataZone2011Code","AGE0","AGE1","AGE2","AGE3","AGE4","AGE5","AGE6","AGE7","AGE8","AGE9","AGE10","AGE11","AGE12","AGE13","AGE14","AGE15","AGE16","AGE17","AGE18","AGE19","AGE20","AGE21","AGE22","AGE23","AGE24","AGE25","AGE26","AGE27","AGE28","AGE29","AGE30","AGE31","AGE32","AGE33","AGE34","AGE35","AGE36","AGE37","AGE38","AGE39","AGE40","AGE41","AGE42","AGE43","AGE44","AGE45","AGE46","AGE47","AGE48","AGE49","AGE50","AGE51","AGE52","AGE53","AGE54","AGE55","AGE56","AGE57","AGE58","AGE59","AGE60","AGE61","AGE62","AGE63","AGE64","AGE65","AGE66","AGE67","AGE68","AGE69","AGE70","AGE71","AGE72","AGE73","AGE74","AGE75","AGE76","AGE77","AGE78","AGE79","AGE80","AGE81","AGE82","AGE83","AGE84","AGE85","AGE86","AGE87","AGE88","AGE89","AGE90"
"322","S01006827",10,7,8,11,8,15,14,11,9,10,10,6,8,7,13,12,8,11,7,7,11,8,4,10,4,3,8,9,16,15,8,21,9,8,17,16,3,13,9,14,16,16,8,20,12,7,19,9,15,18,12,14,9,14,9,17,10,11,13,13,8,8,9,11,8,10,11,6,15,12,8,10,9,12,13,9,6,6,8,4,8,3,5,4,3,6,1,3,1,1,3
"323","S01006828",11,12,6,7,8,6,5,4,3,7,7,9,9,8,7,7,10,5,10,8,7,5,11,20,17,16,16,8,14,13,20,16,11,7,9,6,12,12,15,22,7,13,12,14,10,23,10,10,11,23,18,12,20,13,11,15,11,9,14,12,9,3,11,10,7,13,15,6,14,6,12,5,11,12,7,6,11,5,8,9,7,3,7,8,4,3,2,5,1,1,7
"324","S01006829",11,7,13,9,11,15,10,1,12,8,7,5,8,4,10,7,4,6,8,2,2,5,7,3,1,1,2,2,0,2,8,4,6,13,12,10,9,9,9,13,11,12,9,3,7,9,9,7,12,9,3,5,6,3,1,4,4,5,4,1,3,3,5,2,2,2,4,1,3,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
"325","S01006830",4,5,3,4,9,3,11,6,8,7,2,7,1,5,6,9,10,7,19,15,14,10,12,9,10,11,11,7,5,3,7,8,10,4,9,8,6,5,4,6,7,12,9,12,9,13,9,14,19,14,23,8,18,14,18,10,10,7,8,11,8,4,7,6,10,16,17,9,5,11,6,10,8,7,10,7,5,9,7,5,4,2,11,3,2,3,4,5,2,3,6
"326","S01006831",4,3,1,7,1,3,3,6,2,5,6,3,3,4,12,3,10,12,6,11,3,5,9,1,6,5,4,2,7,0,5,7,7,4,0,4,1,4,7,5,4,12,6,9,6,4,7,3,9,11,20,11,9,7,4,3,6,16,8,9,8,9,14,8,18,11,13,14,6,7,7,4,15,6,5,4,8,8,1,2,2,1,5,1,2,2,0,2,0,0,2
"327","S01006832",9,6,8,15,17,3,8,12,7,15,17,9,8,13,7,13,9,9,12,16,13,11,3,9,13,22,13,4,16,7,17,16,5,9,10,15,5,10,14,8,8,4,17,9,8,16,23,9,11,20,19,19,9,17,16,18,20,14,18,6,15,12,12,18,18,22,16,12,14,9,10,10,10,12,8,7,8,5,5,6,11,3,3,2,4,5,6,7,2,3,7
"328","S01006833",3,3,4,3,5,5,2,5,3,2,6,5,3,8,11,8,9,2,6,5,4,3,3,4,5,2,4,6,1,4,0,0,1,5,3,7,5,3,4,4,2,2,5,8,7,9,7,9,8,9,8,7,6,4,7,8,6,9,3,6,5,4,6,9,4,8,6,4,7,6,4,4,4,5,5,4,8,6,4,1,7,3,4,4,2,1,3,2,3,2,13
"329","S01006834",4,7,5,4,8,4,12,9,9,11,6,16,13,14,9,16,5,6,14,8,11,6,2,6,5,7,2,5,5,3,12,6,9,4,10,5,6,9,8,15,17,10,10,12,10,10,11,7,13,10,7,15,18,6,5,7,8,4,4,2,7,4,3,2,1,1,3,0,0,1,0,0,2,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"330","S01006835",8,5,7,2,12,7,9,4,5,3,7,2,4,6,6,6,6,9,7,9,5,9,8,6,13,12,9,6,19,9,10,11,18,6,12,6,1,7,8,7,6,12,12,7,10,10,14,7,9,13,13,11,12,4,6,12,7,10,9,9,9,8,8,15,3,12,16,9,9,8,7,11,8,8,4,14,10,15,7,1,7,7,5,11,5,12,13,8,9,3,15
"331","S01006836",7,3,15,8,8,8,10,13,18,14,11,6,10,10,7,3,4,3,5,6,7,9,5,4,6,5,6,7,11,10,5,10,9,9,8,8,15,13,15,19,16,17,9,14,11,9,7,8,10,11,9,5,10,6,11,6,7,7,2,3,4,7,3,3,4,4,2,1,2,1,3,3,1,3,3,1,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0
