"","dz2011","simd2020_inc_rate"
"960","S01007465",0.47
"961","S01007466",0.32
"962","S01007467",0.14
"963","S01007468",0.05
"964","S01007469",0.15
"965","S01007470",0.24
"966","S01007471",0.15
"967","S01007472",0.19
"968","S01007473",0.2
"969","S01007474",0.05
"970","S01007475",0.03
"971","S01007476",0.07
"972","S01007477",0.04
"973","S01007478",0.1
"974","S01007479",0.1
"975","S01007480",0.08
"976","S01007481",0.04
"977","S01007482",0.21
"978","S01007483",0.12
"979","S01007484",0.2
"980","S01007485",0.41
"981","S01007486",0.42
"982","S01007487",0.26
"983","S01007488",0.14
"984","S01007489",0.14
"985","S01007490",0.2
"986","S01007491",0.18
"987","S01007492",0.15
"988","S01007493",0.15
"989","S01007494",0.16
"990","S01007495",0.07
"991","S01007496",0.08
"992","S01007497",0.14
"993","S01007498",0.15
"994","S01007499",0.14
"995","S01007500",0.16
"996","S01007501",0.12
"997","S01007502",0.16
"998","S01007503",0.12
"999","S01007504",0.1
"1000","S01007505",0.11
"1001","S01007506",0.07
"1002","S01007507",0.16
"1003","S01007508",0.14
"1004","S01007509",0.09
"1005","S01007510",0.12
"1006","S01007511",0.25
"1007","S01007512",0.12
"1008","S01007513",0.21
"1009","S01007514",0.12
"1010","S01007515",0.05
"1011","S01007516",0.17
"1012","S01007517",0.12
"1013","S01007518",0.17
"1014","S01007519",0.07
"1015","S01007520",0.11
"1016","S01007521",0.04
"1017","S01007522",0.13
"1018","S01007523",0.08
"1019","S01007524",0.07
"1020","S01007525",0.08
"1021","S01007526",0.15
"1022","S01007527",0.06
"1023","S01007528",0.13
"1024","S01007529",0.04
"1025","S01007530",0.07
"1026","S01007531",0.07
"1027","S01007532",0.06
"1028","S01007533",0.06
"1029","S01007534",0.13
"1030","S01007535",0.18
"1031","S01007536",0.07
"1032","S01007537",0.11
"1033","S01007538",0.07
"1034","S01007539",0.04
"1035","S01007540",0.17
"1036","S01007541",0.07
"1037","S01007542",0.15
"1038","S01007543",0.14
"1039","S01007544",0.03
"1040","S01007545",0.04
"1041","S01007546",0.05
"1042","S01007547",0.11
"1043","S01007548",0.12
"1044","S01007549",0.09
"1045","S01007550",0.14
"1046","S01007551",0.08
"1047","S01007552",0.2
"1048","S01007553",0.23
"1049","S01007554",0.29
"1050","S01007555",0.1
"1051","S01007556",0.16
"1052","S01007557",0.14
"1053","S01007558",0.06
"1054","S01007559",0.05
"1055","S01007560",0.11
"1056","S01007561",0.12
"1057","S01007562",0.1
"1058","S01007563",0.1
"1059","S01007564",0.08
"1060","S01007565",0.09
"1061","S01007566",0.05
"1062","S01007567",0.04
"1063","S01007568",0.04
"1064","S01007569",0.07
"1065","S01007570",0.13
"1066","S01007571",0.05
"1067","S01007572",0.11
"1068","S01007573",0.03
"1069","S01007574",0.16
"1070","S01007575",0.26
"1071","S01007576",0.33
"1072","S01007577",0.3
